date,country,channel ID,category ID,sessions,pageviews,conversions,revenue,bounces,total_session_duration_in_ms
2019-01-01,cz,5,10,2,3,0,0,0,3146790
2019-01-01,cz,2,10,92,228,157,116.04,9,296735116
2019-01-01,cz,7,10,186,383,215,226.908,35,208787607
2019-01-01,cz,4,10,67,235,85,76.212,12,273295421
2019-01-01,cz,6,10,562,1437,741,541.952,85,1252733604
2019-01-02,cz,5,10,7,17,6,3.78,1,2775467
2019-01-02,cz,7,10,140,278,195,219.188,21,202742364
2019-01-02,cz,2,10,53,116,55,40.26,6,82479682
2019-01-02,cz,6,10,660,1880,902,636.7,107,1688409124
2019-01-02,cz,3,10,2,13,7,1.088,0,10865318
2019-01-02,cz,4,10,52,106,67,57.004,13,63506271
2019-01-03,cz,7,10,161,296,194,199.06,26,169790980
2019-01-03,cz,2,10,83,205,126,95.556,6,251493780
2019-01-03,cz,6,10,716,1833,896,647.16,126,1708862289
2019-01-03,cz,5,10,54,118,76,107.836,14,127490542
2019-01-03,cz,4,10,71,169,89,83.356,16,165604208
2019-01-04,cz,4,10,49,81,20,17.04,12,16477392
2019-01-04,cz,7,10,136,225,162,149.316,25,119316888
2019-01-04,cz,6,10,706,2142,952,649.988,108,2466227401
2019-01-04,cz,5,10,31,76,35,23.4,9,80170340
2019-01-04,cz,2,10,88,252,140,105.704,6,504752463
2019-01-05,cz,5,10,12,46,13,8.936,1,55803821
2019-01-05,cz,6,10,654,2037,1094,761.816,87,2324097309
2019-01-05,cz,2,10,72,225,94,80.82,10,240636168
2019-01-05,cz,7,10,81,145,100,87.18,15,110980085
2019-01-05,cz,4,10,35,82,57,52.336,7,86532074
2019-01-06,cz,4,10,55,131,66,56.188,12,100062470
2019-01-06,cz,6,10,683,2046,1011,708.376,94,2291144773
2019-01-06,cz,5,10,26,36,21,23.272,6,12438474
2019-01-06,cz,2,10,94,267,118,81.372,9,585200992
2019-01-06,cz,7,10,116,239,141,116.908,18,133715722
2019-01-07,cz,4,10,43,113,109,101.168,8,436309207
2019-01-07,cz,6,10,854,2406,1202,840.784,120,2489382100
2019-01-07,cz,5,10,34,70,28,22.896,5,35296017
2019-01-07,cz,7,10,129,329,180,147.724,21,345778653
2019-01-07,cz,2,10,114,423,223,157.472,9,1346022485
2019-01-08,cz,5,10,13,41,13,8.204,1,24657757
2019-01-08,cz,6,10,701,1879,885,610.428,110,1556024339
2019-01-08,cz,2,10,70,259,264,197.008,11,3736007228
2019-01-08,cz,4,10,62,115,58,52.9,13,44989060
2019-01-08,cz,7,10,99,200,111,95.98,15,99207968
2019-01-09,cz,7,10,115,244,128,103.552,23,117567653
2019-01-09,cz,5,10,37,84,63,57.428,6,133238597
